"","id","educacion","sexo","edad","cervezas","hijos","cigarrillo","cigar"
"126",864,16,"Femenino",29,3,1,1,"1"
"127",175,16,"Femenino",35,6,3,0,"0"
"128",377,16,"Femenino",72,1,2,1,"1"
"129",114,12,"Masculino",31,4,2,0,"0"
"130",387,12,"Femenino",19,2,0,1,"1"
"131",252,12,"Masculino",43,4,3,1,"1"
"132",774,11,"Masculino",20,4,0,0,"0"
"133",269,9,"Masculino",44,6,2,0,"0"
"134",839,18,"Femenino",26,1,0,0,"0"
"135",797,14,"Masculino",22,2,0,0,"0"
"136",278,16,"Masculino",47,2,2,1,"1"
"137",814,12,"Femenino",24,3,0,0,"0"
"138",776,12,"Femenino",20,4,1,0,"0"
"139",14,15,"Femenino",21,1,0,0,"0"
"140",870,12,"Masculino",29,2,4,0,"0"
"141",337,16,"Femenino",58,3,3,0,"0"
"142",421,16,"Masculino",23,3,0,0,"0"
"143",832,14,"Masculino",26,3,2,1,"1"
"144",25,15,"Femenino",22,2,0,0,"0"
"145",990,13,"Femenino",40,2,2,1,"1"
"146",396,13,"Masculino",21,1,0,0,"0"
"147",100,12,"Masculino",29,2,4,0,"0"
"148",152,10,"Femenino",33,4,2,0,"0"
"149",837,10,"Femenino",26,3,3,0,"0"
"150",708,12,"Femenino",52,2,4,0,"0"
"151",1039,9,"Masculino",44,6,2,0,"0"
"152",1058,19,"Masculino",48,1,2,1,"1"
"153",711,12,"Femenino",53,0,4,0,"0"
"154",49,15,"Femenino",24,3,0,0,"0"
"155",822,12,"Femenino",25,4,1,1,"1"
"156",474,17,"Masculino",28,4,0,0,"0"
"157",1095,13,"Femenino",52,3,3,0,"0"
"158",827,15,"Masculino",25,1,0,0,"0"
"159",398,13,"Masculino",21,2,1,0,"0"
"160",849,12,"Masculino",28,2,0,1,"1"
"161",304,13,"Masculino",49,1,0,0,"0"
"162",758,12,"Masculino",71,4,3,1,"1"
"163",624,12,"Femenino",41,2,3,1,"1"
"164",629,16,"Masculino",42,4,2,1,"1"
"165",543,12,"Femenino",34,3,0,0,"0"
"166",950,14,"Femenino",35,3,4,0,"0"
"167",811,16,"Femenino",23,2,0,0,"0"
"168",153,12,"Masculino",33,3,2,0,"0"
"169",655,10,"Femenino",44,6,0,0,"0"
"170",215,16,"Femenino",39,1,2,0,"0"
"171",333,13,"Femenino",57,4,2,1,"1"
"172",299,16,"Femenino",49,4,1,1,"1"
"173",880,13,"Femenino",31,4,3,1,"1"
"174",633,12,"Masculino",42,4,0,1,"1"
"175",625,12,"Femenino",41,3,2,1,"1"
"176",440,14,"Masculino",25,0,0,1,"1"
"177",318,14,"Femenino",52,2,2,1,"1"
"178",479,16,"Femenino",29,3,1,1,"1"
"179",813,13,"Femenino",24,4,2,1,"1"
"180",1064,8,"Masculino",48,2,2,0,"0"
"181",271,12,"Femenino",45,3,2,1,"1"
"182",933,12,"Masculino",34,5,2,0,"0"
"183",530,14,"Femenino",33,1,1,0,"0"
"184",710,13,"Femenino",52,3,3,0,"0"
"185",536,13,"Femenino",33,2,3,0,"0"
"186",665,11,"Masculino",47,6,4,1,"1"
"187",1037,12,"Masculino",44,2,2,1,"1"
"188",828,16,"Femenino",25,4,0,0,"0"
"189",856,12,"Masculino",28,1,0,0,"0"
"190",392,8,"Femenino",20,8,0,0,"0"
"191",395,13,"Masculino",21,2,0,0,"0"
"192",817,10,"Femenino",24,5,1,0,"0"
"193",314,12,"Masculino",51,0,2,1,"1"
"194",1155,14,"Femenino",89,1,2,0,"0"
